gid_0,name_0,un_region,wb_region,bws_cat_0_4,drr_cat_0_4,rfr_cat_0_4
MDG,Madagascar,Africa,Sub-Saharan Africa,0.0,2.0,4.0
MEX,Mexico,Americas,Latin America & Caribbean,3.0,2.0,2.0
MKD,Macedonia,Europe,Europe & Central Asia,3.0,3.0,2.0
MLI,Mali,Africa,Sub-Saharan Africa,0.0,-9999.0,4.0
MLT,Malta,Europe,Middle East & North Africa,-9999.0,-9999.0,-9999.0
MMR,Myanmar,Asia,East Asia & Pacific,2.0,-9999.0,4.0
MNE,Montenegro,Europe,Europe & Central Asia,0.0,2.0,2.0
MNG,Mongolia,Asia,East Asia & Pacific,3.0,2.0,3.0
MOZ,Mozambique,Africa,Sub-Saharan Africa,0.0,2.0,4.0
MRT,Mauritania,Africa,Sub-Saharan Africa,2.0,-9999.0,4.0
MUS,Mauritius,Africa,Sub-Saharan Africa,-9999.0,-9999.0,
MWI,Malawi,Africa,Sub-Saharan Africa,0.0,2.0,4.0
MYS,Malaysia,Asia,East Asia & Pacific,1.0,2.0,2.0
NAM,Namibia,Africa,Sub-Saharan Africa,4.0,1.0,1.0
NER,Niger,Africa,Sub-Saharan Africa,3.0,-9999.0,3.0
NGA,Nigeria,Africa,Sub-Saharan Africa,0.0,2.0,2.0
NIC,Nicaragua,Americas,Latin America & Caribbean,0.0,3.0,2.0
NLD,Netherlands,Europe,Europe & Central Asia,1.0,2.0,0.0
NOR,Norway,Europe,Europe & Central Asia,0.0,0.0,2.0
NPL,Nepal,Asia,South Asia,3.0,2.0,3.0
NRU,Nauru,Oceania,East Asia & Pacific,-9999.0,-9999.0,-9999.0
NZL,New Zealand,Oceania,East Asia & Pacific,0.0,2.0,2.0
OMN,Oman,Asia,Middle East & North Africa,4.0,-9999.0,2.0
PAK,Pakistan,Asia,South Asia,3.0,3.0,3.0
PAN,Panama,Americas,Latin America & Caribbean,0.0,2.0,3.0
PER,Peru,Americas,Latin America & Caribbean,3.0,2.0,2.0
PHL,Philippines,Asia,East Asia & Pacific,2.0,2.0,3.0
PLW,Palau,Oceania,East Asia & Pacific,-9999.0,-9999.0,-9999.0
PNG,Papua New Guinea,Oceania,East Asia & Pacific,0.0,-9999.0,4.0
POL,Poland,Europe,Europe & Central Asia,1.0,3.0,0.0
PRK,North Korea,Asia,East Asia & Pacific,2.0,3.0,4.0
PRT,Portugal,Europe,Europe & Central Asia,3.0,2.0,0.0
